1861060	Japan	Japan	Nippon,Nihon,Japon	35.68536	139.75309	A	PCLI	JP		00			126860301
1605651	Thailand	Thailand	Siam,Prathet Thai	15.5	101	A	PCLI	TH		00			69428524
1650535	Bali	Bali	Pulau Bali	-8.33333	115.16667	A	ADM1	ID		BA			4362000
3165361	Tuscany	Tuscany	Toscana,Toskana	43.41667	11	A	ADM1	IT		16			3729644
3181913	South Tyrol	South Tyrol	Südtirol,Alto Adige,Suedtirol	46.5	11.35	A	ADM2	IT		32	BZ		533715
5128581	New York City	New York City	New York,NYC,Nueva York	40.71427	-74.00597	P	PPL	US		NY			8804190
2657896	Zürich	Zurich	Zurich,Zuerich	47.36667	8.55	P	PPLA	CH		ZH			434008
2659811	Lucerne	Lucerne	Luzern	47.05048	8.30635	P	PPLA	CH		LU			81691
2661604	Basel	Basel	Bâle,Basle	47.5584	7.57327	P	PPLA	CH		BS			177595
2512989	Mallorca	Mallorca	Majorca,Mallorca Island	39.61667	2.98333	T	ISL	ES		07			896038
2988507	Paris	Paris	Paname	48.85341	2.3488	P	PPLC	FR		11			2138551
2643743	London	London	Greater London	51.50853	-0.12574	P	PPLC	GB		ENG			8961989
2657915	Zermatt	Zermatt		46.02013	7.74863	P	PPL	CH		VS			5820
2267057	Lisbon	Lisbon	Lisboa,Lissabon	38.71667	-9.13333	P	PPLC	PT		14			517802
2759794	Amsterdam	Amsterdam		52.37403	4.88969	P	PPLC	NL		07			741636
9990001	Mordor	Mordor	Mordor	0	0	P	PPL	XX		00			12
9990002	Test	Test	Test Village	1	1	P	PPL	US		TX			10
9990003	abcxyz	abcxyz		2	2	P	PPL	DE		00			3
9990004	Helipad Nowhere	Helipad Nowhere		3	3	S	AIRH	CH		ZH			0
